iter	RMSE
0	1.644550355
1	1.573996326
2	1.510402836
3	1.44724798
4	1.384227718
5	1.336785513
6	1.316430117
7	1.285082995
8	1.242508691
9	1.194368896
10	1.148039726
11	1.106748456
12	1.069598996
13	1.03651738
14	1.003014077
15	0.9786792869
16	0.9481296447
17	0.9181059663
18	0.8842712735
19	0.8561451224
20	0.8312179541
21	0.8076502702
22	0.7853601205
23	0.7609793546
24	0.7393706518
25	0.7137951839
26	0.6963920961
27	0.6741497471
28	0.6576295456
29	0.6376467515
30	0.6171750772
31	0.5969825141
32	0.5870232574
33	0.5689941236
34	0.5569731716
35	0.5397488498
36	0.5258535923
37	0.5165909365
38	0.4994364589
39	0.4869561168
40	0.4743872518
41	0.4629824397
42	0.4495274265
43	0.4365929625
44	0.4264709141
45	0.4156016929
46	0.4049256894
47	0.3944740433
48	0.3853294219
49	0.3744151925
50	0.3642946404
51	0.3551226699
52	0.3472174514
53	0.3392614952
54	0.3305081549
55	0.3228861234
56	0.3156917974
57	0.3080520699
58	0.2974457764
59	0.2919614949
60	0.2836668081
61	0.2778893784
62	0.272184624
63	0.2644601657
64	0.2572395295
65	0.2493155295
66	0.2437467573
67	0.2367012068
68	0.229898323
69	0.224795504
70	0.2176559716
71	0.2122782111
72	0.2076849686
73	0.2034783523
74	0.1991268894
75	0.1951636697
76	0.1905157665
77	0.1853174127
78	0.1815995697
79	0.1781155957
80	0.174070483
81	0.1708285722
82	0.1676534671
83	0.1640201327
84	0.1610190488
85	0.1569995795
86	0.1541009752
87	0.1503526068
88	0.1477994654
89	0.1453415508
90	0.1419428307
91	0.1396406508
92	0.1363154305
93	0.1341620233
94	0.1320902312
95	0.1290517843
96	0.1261434236
97	0.1242272058
98	0.1223848503
99	0.1197376062
