iter	RMSE
0	1.717295569
1	1.689163265
2	1.66094555
3	1.634872607
4	1.611036808
5	1.586484633
6	1.561826508
7	1.53730781
8	1.514703296
9	1.493017307
10	1.467465892
11	1.445282625
12	1.424550259
13	1.403773197
14	1.38314325
15	1.365004833
16	1.345800015
17	1.328996951
18	1.308585965
19	1.290687138
20	1.271090841
21	1.255695292
22	1.241590705
23	1.224358785
24	1.210120797
25	1.196034741
26	1.180415584
27	1.166019552
28	1.150727524
29	1.136334372
30	1.123473462
31	1.110219931
32	1.097670103
33	1.083939325
34	1.068574458
35	1.056311292
36	1.043361066
37	1.030119026
38	1.017891623
39	1.005960889
40	0.994090648
41	0.9805252386
42	0.9682523911
43	0.9553179133
44	0.9427193806
45	0.9322527174
46	0.9215691962
47	0.9108326636
48	0.9000213838
49	0.8901452712
50	0.8809354341
51	0.8698795209
52	0.8597928025
53	0.8488568688
54	0.8396273952
55	0.8317678895
56	0.8240152396
57	0.8138364808
58	0.8051093395
59	0.7965706886
60	0.7880678145
61	0.7794831633
62	0.7702443578
63	0.761358247
64	0.7549252363
65	0.747296707
66	0.7407752872
67	0.7386157196
68	0.7298968356
69	0.7239653023
70	0.721258604
71	0.7132859595
72	0.7048772137
73	0.6984237716
74	0.6912916265
75	0.6859642212
76	0.6796048083
77	0.6720114376
78	0.6654771211
79	0.6598369748
80	0.6540199955
81	0.649405202
82	0.6465157719
83	0.6409442402
84	0.6366942465
85	0.6302269875
86	0.6253280762
87	0.6191931102
88	0.6143842631
89	0.6072863066
90	0.6017935393
91	0.5949894975
92	0.5902935957
93	0.5855279503
94	0.5814580629
95	0.5788739223
96	0.5739698407
97	0.5690569739
98	0.5637221044
99	0.5597958242
100	0.5562408811
101	0.5516925074
102	0.5466578211
103	0.5413735
104	0.5385881668
105	0.5355667178
106	0.533000817
107	0.5288979555
108	0.5268839739
109	0.5222456045
110	0.5182634947
111	0.5143710199
112	0.5106215706
113	0.5062830246
114	0.5020862149
115	0.4979364621
116	0.4944315461
117	0.4905803584
118	0.4882665949
119	0.4850844483
120	0.4806790149
121	0.4778839556
122	0.4724296686
123	0.4690502461
124	0.4660264852
125	0.4644068506
126	0.4605958493
127	0.4589562448
128	0.4561947302
129	0.4544088516
130	0.4498397424
131	0.4475837498
132	0.4434057323
133	0.4405842346
134	0.4385836398
135	0.4354534039
136	0.4339234579
137	0.429652767
138	0.4280445589
139	0.4245913828
140	0.4218081751
141	0.4180250658
142	0.4159373118
143	0.4130726156
144	0.4095746535
145	0.4073169519
146	0.4054056792
147	0.4028399099
148	0.4008426474
149	0.3969524136
150	0.393533358
151	0.3911002891
152	0.3887600684
153	0.3848033031
154	0.3827215962
155	0.3814394456
156	0.3794468101
157	0.3773636753
158	0.3749312769
159	0.3736034217
160	0.3712972747
161	0.3696259385
162	0.3677173144
163	0.36510646
164	0.3621865736
165	0.3594097653
166	0.3570859404
167	0.3544972776
168	0.3520800091
169	0.3495020108
170	0.3483431031
171	0.346282629
172	0.3443973611
173	0.3431011074
174	0.3410459356
175	0.3391304218
176	0.3373141565
177	0.3355163625
178	0.3338323834
179	0.3324152085
180	0.3306197145
181	0.3291690115
182	0.3275080234
183	0.3249952479
184	0.3233809008
185	0.321827892
186	0.3201606181
187	0.3189839043
188	0.316513175
189	0.3154391196
190	0.3134924944
191	0.3112657746
192	0.3092266929
193	0.3080261473
