srcStateName,srcDistrictName,District and Taluk Court Case type,Pending cases for a period of 0 to 1 Years,Pending cases for a period of 1 to 3 Years,Pending cases for a period of 3 to 5 Years,Pending cases for a period of 5 to 10 Years,Pending cases for a period of 10 to 20 Years,Pending cases for a period of 20 to 30 Years,Pending cases over 30 Years,Pending cases,Original pending cases,Pending Appeal cases,Pending Application cases,Pending Execution cases,Cases pending at Appearance or Service-Related stage,Cases pending at Compliance or Steps or stay stage,Cases pending at Evidence or Argument or Judgement stage,Cases pending at Pleadings or Issues or Charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by Senior Citizens,Cases filed by women,Cases delayed in disposal,Year
Andaman and Nicobar,Port Blair,Civil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Andaman and Nicobar,Port Blair,Criminal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Andaman and Nicobar,Port Blair,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Andhra Pradesh,Ananthapur,Civil,12585,12445,5359,2647,362,7,1,33406,25895,791,58,6661,10061,5273,9739,7287,1152,411,6024,6547,175,2021
Andhra Pradesh,Ananthapur,Criminal,9391,8796,3021,884,23,16,10,22141,21191,182,768,0,13405,1275,6686,522,1911,1564,376,1106,40,2021
Andhra Pradesh,Ananthapur,Total,21976,21241,8380,3531,385,23,11,55547,47086,973,826,6661,23466,6548,16425,7809,3063,1975,6400,7653,215,2021
Andhra Pradesh,Chittoor,Civil,15882,13251,6779,4677,686,23,0,41298,31361,2773,2,7162,12275,7006,12533,8631,1381,441,8438,10203,168,2021
Andhra Pradesh,Chittoor,Criminal,14176,8948,2767,1153,89,4,2,27139,25555,707,877,0,17447,1855,7340,480,6378,7062,813,1814,50,2021
Andhra Pradesh,Chittoor,Total,30058,22199,9546,5830,775,27,2,68437,56916,3480,879,7162,29722,8861,19873,9111,7759,7503,9251,12017,218,2021
Andhra Pradesh,East Godavari,Civil,15765,14717,6173,3134,424,19,7,40239,28699,3565,2,7971,11789,7983,14077,5350,1297,729,6174,8516,5311,2021
Andhra Pradesh,East Godavari,Criminal,15536,11518,4836,1001,51,39,25,33006,30071,1513,1422,0,18339,2426,11553,649,2823,2267,1009,2822,2348,2021
Andhra Pradesh,East Godavari,Total,31301,26235,11009,4135,475,58,32,73245,58770,5078,1424,7971,30128,10409,25630,5999,4120,2996,7183,11338,7659,2021
Andhra Pradesh,Guntur,Civil,17947,14597,7175,4289,519,27,4,44558,33007,3101,29,8421,13202,9441,15044,6111,1542,744,7307,9120,185,2021
Andhra Pradesh,Guntur,Criminal,17891,16388,4746,1314,83,14,1,40437,36641,1801,1995,0,21020,2856,13425,640,3285,2767,1196,2889,21,2021
Andhra Pradesh,Guntur,Total,35838,30985,11921,5603,602,41,5,84995,69648,4902,2024,8421,34222,12297,28469,6751,4827,3511,8503,12009,206,2021
Andhra Pradesh,Kadapa,Civil,12153,8856,3478,2286,229,1,0,27003,20031,1194,1,5777,8350,5174,8508,4294,915,500,4602,5054,284,2021
Andhra Pradesh,Kadapa,Criminal,9320,6939,2202,787,26,0,0,19274,18398,467,409,0,12373,1002,5632,261,1306,1377,543,748,643,2021
Andhra Pradesh,Kadapa,Total,21473,15795,5680,3073,255,1,0,46277,38429,1661,410,5777,20723,6176,14140,4555,2221,1877,5145,5802,927,2021
Andhra Pradesh,Krishna,Civil,16666,15436,5777,3440,509,26,2,41856,30127,2759,421,8549,15223,8120,12243,5364,1311,751,6403,9001,573,2021
Andhra Pradesh,Krishna,Criminal,20026,14511,4253,1423,261,14,1,40489,36617,1499,1593,0,24426,2765,12461,342,4063,3689,1848,2764,524,2021
Andhra Pradesh,Krishna,Total,36692,29947,10030,4863,770,40,3,82345,66744,4258,2014,8549,39649,10885,24704,5706,5374,4440,8251,11765,1097,2021
Andhra Pradesh,Kurnool,Civil,13947,11542,5315,2953,248,2,0,34007,24851,1257,0,7900,9758,5701,10265,6691,1062,695,5312,5134,382,2021
Andhra Pradesh,Kurnool,Criminal,10848,12489,4125,1026,35,4,2,28529,27625,429,475,0,18121,2164,7911,185,2616,3156,657,1759,123,2021
Andhra Pradesh,Kurnool,Total,24795,24031,9440,3979,283,6,2,62536,52476,1686,475,7900,27879,7865,18176,6876,3678,3851,5969,6893,505,2021
Andhra Pradesh,Nellore,Civil,8754,7656,3336,2280,287,11,0,22324,15782,1059,0,5070,7314,4352,6683,2786,436,369,3616,4585,131,2021
Andhra Pradesh,Nellore,Criminal,9887,8724,3185,862,37,0,0,22695,20791,905,310,0,14208,1347,6121,288,2573,4305,841,1142,55,2021
Andhra Pradesh,Nellore,Total,18641,16380,6521,3142,324,11,0,45019,36573,1964,310,5070,21522,5699,12804,3074,3009,4674,4457,5727,186,2021
Andhra Pradesh,Prakasham,Civil,11329,10878,4969,3379,499,23,1,31078,23005,1845,1,6227,8476,6113,10284,4925,980,495,6448,6121,911,2021
Andhra Pradesh,Prakasham,Criminal,9476,9444,5138,1709,46,4,1,25818,23984,722,1112,0,13916,1320,9363,723,6726,6482,775,1737,54,2021
Andhra Pradesh,Prakasham,Total,20805,20322,10107,5088,545,27,2,56896,46989,2567,1113,6227,22392,7433,19647,5648,7706,6977,7223,7858,965,2021
Andhra Pradesh,Srikakulam,Civil,4742,4181,1532,950,133,6,1,11545,8388,699,0,2458,3321,2376,3658,1916,381,237,1973,1367,61,2021
Andhra Pradesh,Srikakulam,Criminal,7041,3532,1183,414,10,3,0,12183,11772,139,272,0,8351,1026,2612,139,1199,807,385,457,65,2021
Andhra Pradesh,Srikakulam,Total,11783,7713,2715,1364,143,9,1,23728,20160,838,272,2458,11672,3402,6270,2055,1580,1044,2358,1824,126,2021
Andhra Pradesh,Visakapatnam,Civil,13354,13489,6287,3902,631,25,1,37689,28431,2645,1,6612,10393,7882,13588,5181,1312,729,5036,9492,43,2021
Andhra Pradesh,Visakapatnam,Criminal,13198,14313,5819,2438,335,39,1,36143,31544,2262,2337,0,20087,3558,10245,1317,7400,6889,704,1542,57,2021
Andhra Pradesh,Visakapatnam,Total,26552,27802,12106,6340,966,64,2,73832,59975,4907,2338,6612,30480,11440,23833,6498,8712,7618,5740,11034,100,2021
Andhra Pradesh,Vizianagaram,Civil,4831,5005,1896,900,93,3,1,12729,9909,455,161,2204,3278,2363,3796,2855,361,202,2232,2149,55,2021
Andhra Pradesh,Vizianagaram,Criminal,5084,4357,1979,605,11,0,0,12036,11686,101,249,0,6128,1005,4753,134,1005,1246,229,619,24,2021
Andhra Pradesh,Vizianagaram,Total,9915,9362,3875,1505,104,3,1,24765,21595,556,410,2204,9406,3368,8549,2989,1366,1448,2461,2768,79,2021
Andhra Pradesh,West Godavari,Civil,12583,11403,5052,3580,614,31,3,33266,24439,2100,583,6144,9084,7503,10703,5227,1177,606,5485,6949,2529,2021
Andhra Pradesh,West Godavari,Criminal,12986,9241,2983,893,63,3,0,26169,24267,1196,706,0,16511,2327,6707,95,2641,1652,770,1700,654,2021
Andhra Pradesh,West Godavari,Total,25569,20644,8035,4473,677,34,3,59435,48706,3296,1289,6144,25595,9830,17410,5322,3818,2258,6255,8649,3183,2021
Assam,Baksa,Civil,133,121,0,0,0,0,0,254,187,11,37,19,55,51,126,22,11,27,54,45,77,2021
Assam,Baksa,Criminal,2150,2165,0,0,0,0,0,4315,603,4,3708,0,2460,248,1546,41,276,125,17,186,594,2021
Assam,Baksa,Total,2283,2286,0,0,0,0,0,4569,790,15,3745,19,2515,299,1672,63,287,152,71,231,671,2021
Assam,Barpeta,Civil,2212,858,553,646,24,0,0,4293,3182,134,458,519,1204,590,2217,264,187,86,668,460,8,2021
Assam,Barpeta,Criminal,4829,6621,1641,2808,67,0,0,15966,15775,46,144,0,6617,2346,6509,216,515,334,41,930,1,2021
Assam,Barpeta,Total,7041,7479,2194,3454,91,0,0,20259,18957,180,602,519,7821,2936,8726,480,702,420,709,1390,9,2021
Assam,Bongaigaon,Civil,1357,629,205,124,29,1,0,2345,1858,81,317,89,623,195,1249,278,111,141,375,591,3,2021
Assam,Bongaigaon,Criminal,5375,2753,336,159,0,0,0,8623,7905,228,490,0,5640,490,2318,175,843,324,61,634,3,2021
Assam,Bongaigaon,Total,6732,3382,541,283,29,1,0,10968,9763,309,807,89,6263,685,3567,453,954,465,436,1225,6,2021
Assam,Cachar,Civil,3203,2273,1261,946,249,38,7,7977,6616,215,445,701,2068,1245,3854,582,259,349,1047,2061,41,2021
Assam,Cachar,Criminal,7508,6496,3611,3398,609,15,0,21637,19765,338,1239,287,11318,1004,7594,248,648,450,420,2837,4578,2021
Assam,Cachar,Total,10711,8769,4872,4344,858,53,7,29614,26381,553,1684,988,13386,2249,11448,830,907,799,1467,4898,4619,2021
Assam,Charaideo,Civil,139,25,1,3,0,0,0,168,99,23,30,16,35,7,116,10,12,2,27,17,0,2021
Assam,Charaideo,Criminal,349,169,108,50,3,0,0,679,654,20,5,0,213,20,391,37,78,21,3,17,0,2021
Assam,Charaideo,Total,488,194,109,53,3,0,0,847,753,43,35,16,248,27,507,47,90,23,30,34,0,2021
Assam,Chirang,Civil,322,144,19,17,4,0,0,506,430,3,61,12,159,59,204,84,33,23,53,107,8,2021
Assam,Chirang,Criminal,4688,1000,302,94,9,0,0,6093,5807,25,261,0,2931,195,1186,78,899,83,22,326,0,2021
Assam,Chirang,Total,5010,1144,321,111,13,0,0,6599,6237,28,322,12,3090,254,1390,162,932,106,75,433,8,2021
Assam,Darrang,Civil,1042,735,363,388,23,2,0,2553,2083,63,289,114,894,450,1008,200,70,76,339,326,3,2021
Assam,Darrang,Criminal,5724,5029,1371,1238,66,0,0,13428,12491,50,887,0,5723,2358,4144,177,489,226,152,1449,29,2021
Assam,Darrang,Total,6766,5764,1734,1626,89,2,0,15981,14574,113,1176,114,6617,2808,5152,377,559,302,491,1775,32,2021
Assam,Dhemaji,Civil,161,105,38,6,0,0,0,310,245,19,20,23,49,44,179,38,14,22,30,141,6,2021
Assam,Dhemaji,Criminal,1819,865,166,56,1,0,0,2907,2635,116,156,0,1579,89,1117,121,182,74,19,217,120,2021
Assam,Dhemaji,Total,1980,970,204,62,1,0,0,3217,2880,135,176,23,1628,133,1296,159,196,96,49,358,126,2021
Assam,Dhubri,Civil,2069,1390,847,610,85,1,1,5003,3661,94,1023,222,1303,357,2684,644,234,214,819,817,279,2021
Assam,Dhubri,Criminal,11179,6905,3168,2166,90,3,0,23511,22275,65,1171,0,10118,3353,6986,468,973,1067,92,2279,110,2021
Assam,Dhubri,Total,13248,8295,4015,2776,175,4,1,28514,25936,159,2194,222,11421,3710,9670,1112,1207,1281,911,3096,389,2021
Assam,Dibrugarh,Civil,1466,1627,512,378,56,0,1,4040,2548,95,722,675,796,1162,1734,339,124,128,466,755,861,2021
Assam,Dibrugarh,Criminal,7034,4312,1771,1449,128,1,0,14695,14152,115,428,0,10631,340,3376,295,806,290,126,938,449,2021
Assam,Dibrugarh,Total,8500,5939,2283,1827,184,1,1,18735,16700,210,1150,675,11427,1502,5110,634,930,418,592,1693,1310,2021
Assam,Dima Hasao,Civil,38,13,3,2,2,0,0,58,28,26,0,4,9,10,23,16,6,5,2,19,2,2021
Assam,Dima Hasao,Criminal,440,152,54,115,96,17,1,875,863,1,11,0,241,302,294,35,12,97,29,27,100,2021
Assam,Dima Hasao,Total,478,165,57,117,98,17,1,933,891,27,11,4,250,312,317,51,18,102,31,46,102,2021
Assam,Goalpara,Civil,1132,849,372,252,19,0,1,2625,2298,20,171,136,817,148,1357,296,161,72,268,758,753,2021
Assam,Goalpara,Criminal,3443,3437,1382,1112,51,0,0,9425,8200,57,1168,0,3785,1339,4062,227,276,161,52,1422,1854,2021
Assam,Goalpara,Total,4575,4286,1754,1364,70,0,1,12050,10498,77,1339,136,4602,1487,5419,523,437,233,320,2180,2607,2021
Assam,Golaghat,Civil,563,545,338,283,49,1,0,1779,1446,57,143,133,445,160,965,208,67,91,132,643,2,2021
Assam,Golaghat,Criminal,5087,2950,572,345,16,0,0,8970,8444,277,247,0,4672,1846,2210,191,589,443,66,385,18,2021
Assam,Golaghat,Total,5650,3495,910,628,65,1,0,10749,9890,334,390,133,5117,2006,3175,399,656,534,198,1028,20,2021
Assam,Hailakandi,Civil,1170,788,437,215,28,4,1,2643,2011,129,233,270,506,493,1392,251,83,55,447,496,103,2021
Assam,Hailakandi,Criminal,4148,6506,1514,474,16,1,0,12659,11722,222,715,0,3486,1008,3073,184,313,310,128,519,7,2021
Assam,Hailakandi,Total,5318,7294,1951,689,44,5,1,15302,13733,351,948,270,3992,1501,4465,435,396,365,575,1015,110,2021
Assam,Hojai,Civil,559,52,22,25,5,0,0,663,428,54,92,89,354,97,193,19,60,2,170,26,0,2021
Assam,Hojai,Criminal,2044,148,28,30,3,0,0,2253,1691,11,551,0,1407,105,530,25,332,111,29,163,0,2021
Assam,Hojai,Total,2603,200,50,55,8,0,0,2916,2119,65,643,89,1761,202,723,44,392,113,199,189,0,2021
Assam,Jorhat,Civil,923,668,218,160,7,0,1,1977,1402,66,347,162,344,372,1009,251,128,126,328,519,28,2021
Assam,Jorhat,Criminal,8729,3393,526,220,12,0,0,12880,12517,86,277,0,8436,1504,2718,212,1145,270,58,198,18,2021
Assam,Jorhat,Total,9652,4061,744,380,19,0,1,14857,13919,152,624,162,8780,1876,3727,463,1273,396,386,717,46,2021
Assam,Kamrup,Civil,1431,1351,454,417,2,5,1,3661,2365,155,918,223,1154,602,1645,244,155,117,651,452,16,2021
Assam,Kamrup,Criminal,3179,3323,1762,1510,47,1,0,9822,9240,190,392,0,4395,524,4528,287,395,235,67,383,117,2021
Assam,Kamrup,Total,4610,4674,2216,1927,49,6,1,13483,11605,345,1310,223,5549,1126,6173,531,550,352,718,835,133,2021
Assam,Kamrup Metro,Civil,8347,8331,3849,1724,216,29,2,22498,17230,668,2618,1982,6622,2275,10938,2614,884,1023,1781,6970,9,2021
Assam,Kamrup Metro,Criminal,12180,16771,7550,5908,951,55,2,43417,39778,530,3106,0,24957,2959,13854,612,1372,965,424,4033,160,2021
Assam,Kamrup Metro,Total,20527,25102,11399,7632,1167,84,4,65915,57008,1198,5724,1982,31579,5234,24792,3226,2256,1988,2205,11003,169,2021
Assam,Karbi Anglong,Civil,83,30,8,10,12,2,0,145,104,3,34,4,18,18,96,13,8,10,33,36,7,2021
Assam,Karbi Anglong,Criminal,1345,897,301,535,334,58,3,3473,2718,10,745,0,1834,73,1444,103,104,149,4,39,1012,2021
Assam,Karbi Anglong,Total,1428,927,309,545,346,60,3,3618,2822,13,779,4,1852,91,1540,116,112,159,37,75,1019,2021
Assam,Karimganj,Civil,1732,827,384,414,107,14,6,3484,2361,134,854,135,639,356,2272,200,142,129,820,594,996,2021
Assam,Karimganj,Criminal,4403,4259,1397,843,34,6,0,10942,9655,219,1068,0,4389,802,4739,235,485,214,293,2280,3421,2021
Assam,Karimganj,Total,6135,5086,1781,1257,141,20,6,14426,12016,353,1922,135,5028,1158,7011,435,627,343,1113,2874,4417,2021
Assam,Kokrajhar,Civil,80,361,86,56,2,0,0,585,455,19,56,55,124,71,306,84,11,6,71,149,11,2021
Assam,Kokrajhar,Criminal,336,1806,500,211,15,0,0,2868,2636,41,191,0,808,350,1614,68,67,34,36,254,179,2021
Assam,Kokrajhar,Total,416,2167,586,267,17,0,0,3453,3091,60,247,55,932,421,1920,152,78,40,107,403,190,2021
Assam,Lakhimpur,Civil,461,280,103,99,2,0,0,945,673,28,100,144,182,300,388,75,52,55,123,332,16,2021
Assam,Lakhimpur,Criminal,3856,3621,1756,553,16,1,0,9803,9290,150,363,0,5864,208,2961,113,414,147,239,2683,545,2021
Assam,Lakhimpur,Total,4317,3901,1859,652,18,1,0,10748,9963,178,463,144,6046,508,3349,188,466,202,362,3015,561,2021
